Date,Open,High,Low,Closed,% Chg.,Change,Prev. Closed,Volume,Turnover
1994/11/15,1302.050000,1308.100000,1302.050000,1308.100000,0.460000,6.050000,1302.050000,698111,93401214
1994/11/16,1308.100000,1322.440000,1308.100000,1322.440000,1.080000,14.340000,1308.100000,24855,3246441
1994/11/17,1322.440000,1322.440000,1317.370000,1317.370000,-0.380000,-5.070000,1322.440000,286669,36811212
1994/11/19,1317.370000,1317.370000,1303.000000,1303.000000,-1.100000,-14.370000,1317.370000,564449,73423596
1994/11/20,1303.000000,1303.000000,1295.030000,1295.030000,-0.620000,-7.970000,1303.000000,434409,57698107
1994/11/21,1295.030000,1295.630000,1295.030000,1295.630000,0.050000,0.600000,1295.030000,352863,45233382
1994/11/22,1295.630000,1295.630000,1289.750000,1289.750000,-0.460000,-5.880000,1295.630000,317067,51395345
1994/11/23,1289.750000,1289.750000,1283.390000,1283.390000,-0.500000,-6.360000,1289.750000,309242,44559378
1994/11/24,1283.390000,1283.390000,1281.810000,1281.810000,-0.120000,-1.580000,1283.390000,90684,20296491
1994/11/26,1281.810000,1281.810000,1280.030000,1280.030000,-0.140000,-1.780000,1281.810000,301297,43786373
1994/11/27,1280.030000,1280.030000,1277.020000,1277.020000,-0.240000,-3.010000,1280.030000,249941,37485402
1994/11/28,1277.020000,1277.020000,1265.030000,1265.030000,-0.950000,-11.990000,1277.020000,363526,56163959
1994/11/29,1265.030000,1265.030000,1248.060000,1248.060000,-1.360000,-16.970000,1265.030000,597890,84718823
1994/11/30,1248.060000,1248.060000,1235.400000,1235.400000,-1.020000,-12.660000,1248.060000,620148,85029000
1994/12/03,1235.400000,1248.840000,1235.400000,1248.840000,1.080000,13.440000,1235.400000,200222,30813032
1994/12/04,1248.840000,1255.490000,1248.840000,1255.490000,0.530000,6.650000,1248.840000,475471,58059981
1994/12/05,1255.490000,1271.730000,1255.490000,1271.730000,1.280000,16.240000,1255.490000,807706,105936206
1994/12/06,1271.730000,1294.010000,1271.730000,1294.010000,1.720000,22.280000,1271.730000,1348598,176601481
1994/12/07,1294.010000,1296.210000,1294.010000,1296.210000,0.170000,2.200000,1294.010000,1287225,171541939
1994/12/08,1296.210000,1296.210000,1275.230000,1275.230000,-1.650000,-20.980000,1296.210000,359687,43469062
1994/12/10,1275.230000,1275.230000,1266.620000,1266.620000,-0.680000,-8.610000,1275.230000,576499,75477747
